id_candidat,nom,prenom,adresse,email,tel,id_competence,id_softskill,id_metier,id_lieu,id_contrat,id_type_entreprise,id_seniorite,id_teletravail,id_domaine,salaire_min
0,Gay,Anaïs,3739,fde-sousa@example.org,+33 1 77 41 15 29,"[450, 1117]","[5, 1, 23, 7, 17, 20, 14, 12]","[6952, 7951, 11487]","[24021, 1694, 21713, 1692]","[3, 1, 5, 4]",[3],"[1, 3, 2]",[],"[86, 61, 34, 44]",20000
1,Devaux,Geneviève,15944,carondanielle@example.org,0776309546,"[931, 876, 1255, 540, 969, 1455, 1339, 698]",[3],"[3552, 7768]","[16109, 37520]",[],"[4, 1, 3]",[],"[2, 1]",[24],55000
2,Masse,Benjamin,3968,edouard80@example.com,+33 3 88 66 21 55,"[1211, 984, 556, 933, 1161, 331, 1517, 206, 1372, 279]","[13, 21, 12, 5, 9, 23, 22]","[11163, 8209, 8033]","[333, 16247, 24789]","[4, 6]",[],[1],"[3, 1, 2]","[67, 6, 34, 60]",60000
3,Dias,Raymond,6820,dorotheeberthelot@example.org,+33 (0)3 73 98 05 96,"[543, 1088, 161, 21, 367]","[15, 4, 18, 20, 16, 7, 21, 1, 13, 12]","[791, 7504, 4626]","[5555, 37097, 22797, 4022, 17895]","[5, 4]","[1, 3]",[],"[2, 3, 1]","[53, 31, 14, 41]",50000
4,Antoine,Paulette,23394,richard52@example.org,05 63 40 02 90,"[846, 1378, 439, 1459, 214, 639]","[21, 9, 10, 14, 17]",[5437],"[12451, 12556, 42302]",[4],"[4, 2, 1, 3]",[2],[2],[80],50000
5,Maillet,Agathe,30579,lorrainelucas@example.com,04 30 05 89 51,"[651, 395, 525]","[7, 15, 13, 11]",[4626],[23614],[],[],"[2, 1]",[2],[60],35000
6,Lemonnier,Margaud,73,leducolivie@example.org,03 61 89 16 48,"[1238, 12, 1418, 1096, 1178]","[23, 18, 15, 21, 3, 9, 7, 22]",[9743],"[25381, 8235, 6651, 17529]","[6, 1]","[4, 3, 1]","[2, 1]",[3],[49],25000
7,Pires,Thomas,33390,ichartier@example.org,+33 (0)3 61 71 81 81,"[513, 877, 1380, 1505, 227]","[22, 3]",[8783],"[19488, 29162, 25267, 44270, 30628]","[5, 6, 2, 3, 4]","[4, 2, 3]",[],[2],"[103, 2]",65000
8,Guillaume,Océane,43631,eleonore85@example.net,+33 (0)4 89 09 12 71,"[1533, 54, 1332, 1119, 1230, 1303, 1410, 1546, 1067, 1302]","[9, 8, 12, 3, 1, 22, 10, 2, 7, 14]",[7983],"[8463, 18968]","[5, 6, 2]","[4, 2]","[2, 3, 1]","[1, 3, 2]","[18, 45]",40000
9,Samson,Maryse,5436,marionetienne@example.com,+33 6 18 03 36 21,"[1204, 1062, 1136]","[22, 12, 16, 5]","[2470, 822]","[18514, 1468, 19075]","[3, 2, 6, 1]",[4],[],[3],[],70000
10,Maillet,Clémence,22855,franckhardy@example.com,+33 (0)2 51 76 97 59,"[9, 1418, 597, 1534, 882, 419]",[1],"[11334, 2742, 3206]","[37662, 4079, 29459, 26500]","[1, 6, 4, 5, 3, 2]","[2, 1, 3]",[],"[3, 2, 1]","[77, 75]",25000
11,Blanchard,Marthe,7724,reneeboutin@example.com,+33 (0)3 62 93 91 06,"[466, 49, 795, 1021, 305]",[2],"[7502, 11663, 116]",[7781],"[4, 6, 1, 3, 2, 5]","[3, 1, 2, 4]",[],[],[12],70000
12,Renard,Gilles,30884,laetitia95@example.com,+33 3 71 19 83 89,"[353, 1269, 348, 721, 1398, 249, 12, 1510, 252]","[15, 20, 21, 5, 18, 12, 17]","[4362, 10886]","[15306, 16769, 12984]","[4, 5, 3, 2]",[],"[2, 3]","[1, 3]","[86, 33]",55000
13,Hamel,Rémy,42470,hernandezroger@example.net,0364078541,"[1275, 834, 819, 167, 25, 783, 704, 599, 693, 613]","[9, 18, 17, 11]","[1471, 5187, 7967]","[26544, 29309]",[4],"[3, 4, 2, 1]","[1, 3, 2]",[3],[58],40000
14,Alves,Henri,25517,matthieurenaud@example.org,+33 5 49 24 61 97,"[777, 5, 930, 1458, 1415]",[],"[9538, 6255, 9476]","[7657, 31070, 8324, 34600, 23441]","[6, 4]",[2],"[3, 2, 1]","[2, 1]",[41],75000
15,Thibault,Audrey,30684,margaretmenard@example.org,0233669268,[],[],"[11620, 6287, 10317]","[3466, 590, 5225, 28515, 19327]","[5, 2, 3, 4, 1, 6]",[4],[3],[2],"[66, 35, 89, 23, 96]",60000
16,Peltier,Antoine,43627,tcollet@example.com,+33 3 10 76 98 17,[],"[21, 12, 6, 2, 23, 22, 15, 7]",[122],[27391],"[5, 2, 1, 6, 4]","[1, 3, 2]",[1],[],"[43, 107, 75, 12, 26]",35000
17,Guillot,Nicole,41827,patriciamasse@example.com,+33 (0)7 74 58 78 79,"[1031, 1286, 1154, 1527, 148, 1375, 1023, 593, 330]",[3],[5991],"[29394, 34845, 36269]","[4, 3, 5]",[3],"[1, 2]",[3],"[78, 105]",50000
18,Gauthier,Martin,8377,simonevaillant@example.com,+33 2 40 12 23 09,"[317, 1476, 1536, 76, 313, 159, 177]","[2, 20]","[10565, 8075, 2563]",[],[1],[],"[1, 2]","[1, 2]","[94, 74]",60000
19,Da Silva,Claire,26797,laurentvalentin@example.net,+33 2 21 23 72 46,[],"[18, 6]","[116, 8033, 8662]","[36970, 8410, 600, 31559]","[6, 5, 1, 3, 4, 2]",[1],"[3, 1, 2]",[3],[],65000
20,Bourgeois,Antoine,41748,baronaimee@example.com,0423372188,"[718, 1210, 1228]",[10],[7969],[2184],"[6, 3, 4]",[3],"[2, 3]",[2],"[32, 81, 92, 78, 53]",40000
21,Humbert,Aurélie,4359,gmaillard@example.com,05 54 45 70 95,[],"[5, 14, 10, 8, 16, 23, 13, 3, 19]",[8597],"[37234, 34969, 35591, 32695]","[3, 6]","[1, 4, 2, 3]","[1, 2]",[],"[98, 40, 58, 77, 38]",40000
22,Guérin,Paulette,35875,le-goffgilbert@example.com,+33 (0)4 91 52 07 78,"[1353, 141, 1061, 13, 1291]",[6],"[784, 5968, 2897]",[],"[4, 1, 2]","[3, 4, 1, 2]","[2, 3, 1]","[3, 2, 1]","[88, 50, 105, 80]",30000
23,Turpin,Aurélie,62,gilles82@example.com,02 72 28 31 57,"[1341, 883, 916, 15, 1504]",[],"[3199, 9373]","[17213, 27922, 17805, 13511]","[4, 3, 6, 5]",[2],"[1, 2]",[2],"[48, 39, 54, 60]",50000
24,Ferrand,Laure,34130,mariannelefort@example.com,0546409767,"[705, 161, 249, 1508, 421, 1012, 369]","[7, 16, 20, 4, 11, 19, 17, 14]","[3782, 116, 11755]","[41863, 7617]",[],"[2, 3, 4, 1]","[1, 3, 2]",[3],"[53, 16, 62]",70000
25,Breton,Grégoire,36183,xdeschamps@example.net,03 84 15 45 39,"[107, 72, 1296]","[15, 11, 7, 5, 17, 18, 23, 19]","[3279, 7960]","[11715, 19256, 17706, 11523]","[1, 2]","[1, 4, 2, 3]",[],"[1, 3]","[82, 74, 42]",65000
26,Lecoq,Guy,13112,poulainelise@example.com,+33 1 81 40 92 57,"[1550, 1189, 1415, 704, 1214, 767]","[19, 16, 18, 21]","[6628, 2746, 9787]",[31455],"[6, 2, 1, 3]","[2, 3, 4]",[1],"[2, 1]",[],75000
27,Colas,Maggie,2415,pnoel@example.org,0351249913,"[521, 264, 86, 24, 512, 1309, 330, 1083]","[10, 5, 17, 11, 7, 15, 13, 6, 12, 20]",[1471],[],[],"[3, 2]","[2, 3, 1]",[],[57],50000
28,Lombard,Joseph,42952,susanne86@example.com,0499495474,"[1373, 1129, 75, 554, 601, 1496, 532, 1244]",[],"[4037, 4256, 12057]","[27283, 5946, 6331, 5531]","[1, 3, 5]","[4, 2, 3]","[3, 2]",[3],[22],55000
29,Guérin,Sébastien,34298,elodiebuisson@example.org,+33 (0)4 58 21 91 72,"[104, 33, 793, 951, 1550, 1447, 1048, 1509]","[4, 20, 11, 17, 2, 10, 12, 21, 15, 18]","[12095, 9818, 2746]",[36775],"[5, 1]",[],"[3, 2, 1]","[1, 2]","[23, 79, 27, 96]",50000
